Datum;Dax30;Dax30lag;S&P500;S&P500lag
06.01.1998;-1,288219246;1,20591524;-1,06883339;0,210031876
07.01.1998;-0,460315822;-1,288219246;-0,243159121;-1,06883339
08.01.1998;-1,067746856;-0,460315822;-0,819969984;-0,243159121
09.01.1998;-1,301692736;-1,067746856;-2,966391006;-0,819969984
12.01.1998;-2,433130789;-1,301692736;1,241765974;-2,966391006
13.01.1998;0,371737322;-2,433130789;1,379375059;1,241765974
14.01.1998;-0,110843106;0,371737322;0,614414624;1,379375059
15.01.1998;-0,125198714;-0,110843106;-0,748964103;0,614414624
16.01.1998;1,836134312;-0,125198714;1,133848298;-0,748964103
20.01.1998;2,243468114;1,836134312;1,778439854;1,133848298
21.01.1998;-1,400194394;2,243468114;-0,78981648;1,778439854
22.01.1998;-0,275263677;-1,400194394;-0,799950157;-0,78981648
23.01.1998;-0,391858959;-0,275263677;-0,564868367;-0,799950157
26.01.1998;1,046383841;-0,391858959;-0,067529843;-0,564868367
27.01.1998;1,165167333;1,046383841;1,262007132;-0,067529843
28.01.1998;1,604244622;1,165167333;0,8941183;1,262007132
29.01.1998;1,350879873;1,604244622;0,829065169;0,8941183
30.01.1998;-0,044999134;1,350879873;-0,528268901;0,829065169
02.02.1998;1,96622195;-0,044999134;2,141964549;-0,528268901
03.02.1998;-0,015452948;1,96622195;0,477591021;2,141964549
04.02.1998;-0,440035503;-0,015452948;0,102766077;0,477591021
05.02.1998;-0,322226534;-0,440035503;-0,321768638;0,102766077
06.02.1998;0,938656913;-0,322226534;0,906998621;-0,321768638
09.02.1998;-0,382418871;0,938656913;-0,162863809;0,906998621
10.02.1998;0,864243422;-0,382418871;0,81948578;-0,162863809
11.02.1998;-0,135128613;0,864243422;0,119778541;0,81948578
12.02.1998;-0,946521221;-0,135128613;0,414262627;0,119778541
13.02.1998;0,28939741;-0,946521221;-0,392526699;0,414262627
17.02.1998;2,32176578;0,28939741;0,266712484;-0,392526699
18.02.1998;-0,340578551;2,32176578;0,935312703;0,266712484
19.02.1998;-0,66310179;-0,340578551;-0,365182338;0,935312703
20.02.1998;0,042566382;-0,66310179;0,577877515;-0,365182338
23.02.1998;0,602876263;0,042566382;0,382221165;0,577877515
24.02.1998;-0,132518989;0,602876263;-0,729932774;0,382221165
25.02.1998;2,172416414;-0,132518989;1,211175923;-0,729932774
26.02.1998;-0,187051767;2,172416414;0,565675626;1,211175923
27.02.1998;-0,040887776;-0,187051767;0,067593068;0,565675626
02.03.1998;1,869676556;-0,040887776;-0,154059237;0,067593068
03.03.1998;-0,460095114;1,869676556;0,413023544;-0,154059237
04.03.1998;-1,451796572;-0,460095114;-0,42358082;0,413023544
05.03.1998;-0,300606329;-1,451796572;-1,158756878;-0,42358082
06.03.1998;1,845214929;-0,300606329;2,003280857;-1,158756878
09.03.1998;1,389545028;1,845214929;-0,319101942;2,003280857
10.03.1998;0,483133805;1,389545028;1,136077249;-0,319101942
11.03.1998;0,210006966;0,483133805;0,415083563;1,136077249
12.03.1998;-0,488235258;0,210006966;0,151544936;0,415083563
13.03.1998;0,693785689;-0,488235258;-0,120968977;0,151544936
16.03.1998;0,684490091;0,693785689;0,998958881;-0,120968977
17.03.1998;0,821919484;0,684490091;0,109360953;0,998958881
18.03.1998;-0,75537161;0,821919484;0,473977093;0,109360953
19.03.1998;0,842611362;-0,75537161;0,392237296;0,473977093
20.03.1998;1,924277411;0,842611362;0,865180877;0,392237296
23.03.1998;-0,615044914;1,924277411;-0,326723665;0,865180877
24.03.1998;1,001569564;-0,615044914;0,922351476;-0,326723665
25.03.1998;0,982949441;1,001569564;-0,334833078;0,922351476
26.03.1998;-1,664603755;0,982949441;-0,102300961;-0,334833078
27.03.1998;0,753628952;-1,664603755;-0,469483568;-0,102300961
30.03.1998;0,05901044;0,753628952;-0,17139067;-0,469483568
31.03.1998;0,539656679;0,05901044;0,750662028;-0,17139067
01.04.1998;0,747461867;0,539656679;0,587703894;0,750662028
02.04.1998;0,850769665;0,747461867;1,074229443;0,587703894
03.04.1998;1,453551237;0,850769665;0,241711399;1,074229443
06.04.1998;1,742756437;1,453551237;-0,11589022;0,241711399
07.04.1998;-0,677529841;1,742756437;-1,025968819;-0,11589022
08.04.1998;-0,797036351;-0,677529841;-0,709802504;-1,025968819
09.04.1998;0,852421047;-0,797036351;0,820244033;-0,709802504
14.04.1998;0,58656878;0,852421047;0,463060042;0,820244033
15.04.1998;0,296252767;0,58656878;0,320687441;0,463060042
16.04.1998;-1,23655593;0,296252767;-0,994283435;0,320687441
17.04.1998;0,635937857;-1,23655593;1,313914876;-0,994283435
20.04.1998;1,52629336;0,635937857;0,082835657;1,313914876
21.04.1998;-0,63111024;1,52629336;0,269026169;0,082835657
22.04.1998;-1,144813726;-0,63111024;0,349858848;0,269026169
23.04.1998;-0,935756398;-1,144813726;-0,968200666;0,349858848
24.04.1998;-2,245100778;-0,935756398;-1,043185307;-0,968200666
27.04.1998;-2,754635119;-2,245100778;-1,927933651;-1,043185307
28.04.1998;2,162228072;-2,754635119;-0,121122903;-1,927933651
29.04.1998;-0,529850045;2,162228072;0,893516351;-0,121122903
30.04.1998;3,096699319;-0,529850045;1,571038855;0,893516351
04.05.1998;1,84155246;3,096699319;0,928899643;1,571038855
05.05.1998;-2,089831858;1,84155246;-0,583586795;0,928899643
06.05.1998;0,735142168;-2,089831858;-0,924686393;-0,583586795
07.05.1998;-1,894343751;0,735142168;-0,882512459;-0,924686393
08.05.1998;2,046897417;-1,894343751;1,18765797;-0,882512459
11.05.1998;1,482560842;2,046897417;-0,085408899;1,18765797
12.05.1998;-0,76522552;1,482560842;0,831249446;-0,085408899
13.05.1998;1,208970915;-0,76522552;0,29422283;0,831249446
14.05.1998;0,03946396;1,208970915;-0,131009209;0,29422283
15.05.1998;0,748030837;0,03946396;-0,769134617;-0,131009209
18.05.1998;-1,304875413;0,748030837;-0,251062005;-0,769134617
19.05.1998;1,821597931;-1,304875413;0,335188851;-0,251062005
